id_ref,inicio,fim,peso,titulo,autores
W2123755784,1996,2013,42.6,Brain of the firm,Bo.; Beer
W1553746973,2017,2024,29.1,The entrepreneurial state: debunking public vs. private sector my,
W4244612406,2022,2026,24.3,Organizational Systems,Espejo; Reyes
W2048086870,2011,2016,22.3,Brain of the Firm: The Managerial Cybernetics of Organization,Casey; Beer
W582908774,2011,2019,21.6,Organizational Systems: Managing Complexity with the Viable Syste,Espejo; Reyes
W2154683088,2002,2010,16.2,Diagnosing the System for Organizations,Beaumont
W3124879925,2013,2016,15.4,Industrial Policy for the Twenty-First Century,Rodrik
W2057748843,2014,2020,12.9,"Governance modes, policy regimes and operational plans: A multi-l",Howlett
W1566478880,2011,2012,12.4,The Heart of Enterprise,Snowdon
W2080554996,2010,2018,12.2,Introduction: Understanding Public Policy through Its Instruments,Lascoumes; Galès
W2111030512,2009,2013,12.2,An introduction to cybernetics,Ashby
W2082088739,2014,2021,11.8,Design Principles for Policy Mixes: Cohesion and Coherence in ‘Ne,Howlett; Rayner
W2026948646,1993,2010,11.7,Soft Systems Methodology in Action,Gough; Checkland
W2165238389,2014,2026,11.7,Complexity management in practice: A Viable System Model interven,Espinosa; Walker
W148613442,2014,2020,11.4,Design and diagnosis for sustainable organizations : the viable s,Ríos
W2132852401,2014,2022,11.4,Using the Viable System Model (VSM) to structure information proc,Preece; Shaw
W2363378650,2017,2025,10.8,Policy mixes for sustainability transitions: An extended concept ,Rogge; Reichardt
W1970428482,1994,2007,10.3,Creative Problem Solving: Total Systems Intervention.,Taket
W1492856410,1992,2002,10.1,"Systems Thinking, Systems Practice",Checkland
W1968893806,2001,2008,9.8,Intelligent organizations: an integrative framework,Schwaninger
