ano,citacoes,B,t_m,eixos,titulo
1950,3350,266.0,62,PolInd,The economic development of Latin America and its principal problems
1957,115,197.8,68,Cyb,An Introduction to Cybernetics
1959,6359,191.7,53,PolInd,The Strategy of Economic Development
1974,296,188.0,40,Cyb,Brain of the Firm: The Managerial Cybernetics of Organization
1938,563,171.3,54,PolInd,On the Economic Theory of Socialism
1992,146,154.0,32,,Institutional sources of corruption in Brazil
1963,4248,136.7,41,,Economic Backwardness in Historical Perspective.
1989,112,136.0,18,Reg,The ‘Little Big Bang’ in Paris: financial market deregulation in a <i>dirigiste<
1962,174,119.7,43,Reg,Behavior of the Firm Subject to External Regulatory Constraint
1992,3089,118.5,32,,Historical institutionalism in comparative politics
1948,80387,112.6,58,Cyb,A Mathematical Theory of Communication
1984,580,110.9,25,Reg,Environment and EnforcementRegulation and the Social Definition of Pollution
2002,2531,95.4,22,,Government Ownership of Banks
2002,257,93.0,22,PolInd,Bad Loans to Good Friends: Money Politics and the Developmental State in South K
2004,199,92.0,20,,Political Economy of Resource-Abundant States
