year,cited_by,B,t_m,axes,title
1974,296,166.0,41,,Brain of the Firm: The Managerial Cybernetics of Organization
1980,805,130.0,31,,The Heart of Enterprise
1957,115,60.0,68,,An Introduction to Cybernetics
1959,41,58.0,59,,What has Cybernetics to do with Operational Research?
1968,342,56.4,46,,Decision and Control: The Meaning of Operational Research and Man
1983,778,54.7,34,,The Tools of Government
1990,240,54.4,19,,The Viable System Model: Interpretations and Applications of Staf
1984,691,51.5,28,,"The Viable System Model: Its Provenance, Development, Methodology"
1990,132,45.4,22,,The Viable System Model: Interpretations and Applications of Staf
1985,293,43.1,26,,Diagnosing the System for Organizations
1990,70,42.7,21,,The viable system model: interpretations of Stafford Beer's VSM
1990,195,39.4,22,,The Viable System Model
1990,20,36.3,28,,Embodiments of organizational fitness: The Viable System Model (V
1980,4741,36.0,27,,Autopoiesis and Cognition: The Realization of the Living
1989,480,33.9,28,,Instruments of Government: Perceptions and Contexts
