id_agrupamento,rotulo,tamanho,titulo,citacoes,ano
0,development · economic · industrial,2064,Dynamic capabilities and strategic management,31231,1997
0,development · economic · industrial,2064,Toward a New Conception of the Environment-Competitiveness R,12481,1995
0,development · economic · industrial,2064,The Colonial Origins of Comparative Development: An Empirica,8244,2001
1,governance · policy · regulation,1500,Introduction: Understanding Public Policy through Its Instru,1385,2007
1,governance · policy · regulation,1500,Social Accountability and Corporate Greenwashing,1318,2003
1,governance · policy · regulation,1500,Legitimacy and the Privatization of Environmental Governance,1259,2002
2,management · model · systems,1064,A Dynamic Theory of Organizational Knowledge Creation,17489,1994
2,management · model · systems,1064,A Mathematical Theory of Communication,9740,1948
2,management · model · systems,1064,What Will 5G Be?,8161,2014
3,policy · political · public,981,Why would corporations behave in socially responsible ways? ,4755,2007
3,policy · political · public,981,Politically Connected Firms,3956,2006
3,policy · political · public,981,The great reversals: the politics of financial development i,3374,2003
4,approach · dynamics · learning,355,Learning by Expanding,4918,2014
4,approach · dynamics · learning,355,"Modernization, cultural change, and democracy the human deve",3736,2005
4,approach · dynamics · learning,355,An Organizational Learning Framework: From Intuition to Inst,3641,1999
5,calculation · economic · economics,95,Genealogies of resilience,1067,2011
5,calculation · economic · economics,95,The Firm in Illyria: Market Syndicalism,752,1977
5,calculation · economic · economics,95,Modernization theory and the sociological study of developme,300,1971
