chave,id_openalex,referencia
Beer_Brain_1972,W2048086870,Beer (1972) Brain of the Firm
Beer_Heart_1979,W1566478880,Beer (1979) Heart of Enterprise
Beer_Diagnosing_1985,W2154683088,Beer (1985) Diagnosing the System
Ashby_1956,W2325487953,Ashby (1956) Intro to Cybernetics
Espejo_Walker_2011,W4244612406,Espejo & Reyes (2011) Org. Systems
Hood_1983,W1601629960,Hood (1983) Tools of Government
Hood_Margetts_2007,W2126563689,Hood & Margetts (2007) Tools Digital Age
Margetts_2024,W4386803846,Margetts (2024) Rediscovering Nodality
Rodrik_2004,W3124879925,Rodrik (2004) Industrial Policy 21C
Mazzucato_2013,W1553746973,Mazzucato (2013) Entrepreneurial State
Lange_Cybernetics_1971,https://openalex.org/W4230710385,Lange & Nuti (1971) Introduction to Economic Cybernetics
Lange_Socialism_1938,https://openalex.org/W3130930004,Lange (1938) On the Economic Theory of Socialism
Lange_Wholes_1966,https://openalex.org/W2063282131,Lange & Boulding (1966) Wholes and Parts
Wiener_Cybernetics_1948,https://openalex.org/W1527571715,Wiener (1948) Cybernetics or Control and Communication in the Animal and the Machine
Maturana_Varela_Autopoiesis_1980,https://openalex.org/W1916207017,Maturana & Varela (1980) Autopoiesis and Cognition: The Realization of the Living
vonFoerster_2ndOrder_2004,https://openalex.org/W1997780809,von Foerster (2004) Second-order cybernetics: historical introduction
Lascoumes_LeGales_2010,https://openalex.org/W2076248782,Lascoumes & Le Galès (2010) Exploring Governance: Policy Instruments Approach
Salamon_Tools_2001,https://openalex.org/W2258876734,Salamon (2001) Tools of Government
Chang_Kicking_2002,https://openalex.org/W1919820734,Chang (2002) Kicking Away the Ladder: Development Strategy in Historical Perspective
Evans_EmbeddedAutonomy_1995,https://openalex.org/W2912536286,Evans (1995) Embedded Autonomy: States and Industrial Transformation
