ano,Cyb,Reg,PolInd
1962,1,1,1
1963,1,1,2
1964,1,0,1
1965,0,0,1
1966,1,1,1
1967,1,0,0
1968,3,2,2
1969,1,0,2
1970,2,0,3
1971,4,2,3
1972,0,4,2
1973,1,1,1
1974,3,2,5
1975,2,1,2
1976,4,3,2
1977,3,3,2
1978,3,1,2
1979,5,5,4
1980,3,2,3
1981,4,8,3
1982,5,9,3
1983,9,11,3
1984,4,21,3
1985,10,10,4
1986,5,16,5
1987,6,13,4
1988,12,18,7
1989,10,17,9
1990,18,22,15
1991,18,23,12
1992,18,20,20
1993,28,15,12
1994,22,23,21
1995,17,31,32
1996,14,29,23
1997,24,32,16
1998,31,46,28
1999,38,32,39
2000,36,48,38
2001,41,42,37
2002,32,64,71
2003,49,84,59
2004,57,71,59
2005,51,102,78
2006,75,115,62
2007,72,124,87
2008,61,91,92
2009,53,129,91
2010,69,111,98
2011,97,101,107
2012,88,121,100
2013,72,119,90
2014,78,115,92
2015,80,107,88
2016,73,95,99
2017,97,124,108
2018,72,97,108
2019,76,103,107
2020,69,94,86
2021,57,70,70
2022,41,47,40
2023,32,26,36
2024,22,28,32
2025,29,18,11
