year,Cyb,Reg,PolInd
1968,1,0,0
1970,1,0,0
1974,1,1,1
1979,2,0,0
1980,2,1,1
1982,1,0,0
1983,3,1,1
1984,2,1,0
1985,2,1,0
1986,1,1,0
1987,1,0,1
1988,1,1,0
1989,3,1,0
1990,7,2,1
1991,1,3,1
1992,4,1,0
1993,10,2,1
1994,3,2,0
1995,1,1,0
1996,2,0,0
1997,7,0,0
1998,4,2,0
1999,8,2,0
2000,3,1,1
2001,5,3,0
2002,6,0,0
2003,7,5,0
2004,13,4,2
2005,7,3,4
2006,19,2,5
2007,19,6,7
2008,8,2,4
2009,14,9,8
2010,11,8,3
2011,30,11,4
2012,22,13,8
2013,14,9,13
2014,23,10,12
2015,26,11,12
2016,14,10,7
2017,15,18,18
2018,18,13,10
2019,23,19,16
2020,14,17,14
2021,9,16,8
2022,10,5,4
2023,8,12,7
2024,6,5,1
2025,13,6,1
