id_openalex,obra,eixo,citacoes,ano,semente
W4230710385,Lange · Economic Cybernetics,Cyb,37,1971,True
W1578152577,Designing Public Policies: Principles and ,Reg,368,2010,False
W4386803846,Margetts · Nodality,Reg,18,2023,True
W3130930004,Lange · Economic Theory of Socialism,PolInd,563,1938,True
W2063282131,Lange · Wholes and Parts,Cyb,35,1966,True
W2015231219,Introduction to Economic Cybernetics,Cyb,84,1970,False
W233775549,Systems Approaches to Management,Cyb,866,2000,False
W1524464890,Rational analysis for a problematic world ,Cyb,841,2001,False
W2120106358,Economic development as self-discovery,PolInd,1681,2003,False
W1506732837,The systems approach and its enemies,Cyb,650,1980,False
W1585847492,Designing Government: From Instruments to ,Reg,109,2005,False
W52678905,Diagnosing the system for organizations,Cyb,992,1986,False
W1574300438,"Carrots, Sticks &amp; Sermons",Reg,368,2017,False
W1566478880,Beer · Heart of Enterprise,Cyb,805,1980,True
W4244612406,Espejo & Reyes · Org. Systems,Cyb,215,2011,True
W221732451,Public policy instruments : evaluating the,Reg,195,1998,False
W2013386523,The Competitive Advantage of Nations,PolInd,17696,1991,False
W2025177555,"The Viable System Model: Its Provenance, D",Cyb,691,1984,False
W1983425281,The Viable System Model,Cyb,195,1990,False
W1980975001,Studying public policy: policy cycles and ,Reg,2510,1996,False
W2126563689,Hood & Margetts · Digital Age,Reg,233,2007,True
W1495961791,Multimethodology : the theory and practice,Cyb,460,1997,False
W2111030512,An introduction to cybernetics,Cyb,7232,1956,False
W1570538375,The New Governance and the Tools of Public,Reg,560,2011,False
W2127617481,Instruments of Government: Perceptions and,Reg,480,1989,False
W1553746973,Mazzucato · Entrepreneurial State,PolInd,2314,2014,True
W2137358449,An Evolutionary Theory of Economic Change.,PolInd,21731,1983,False
W2101157755,"The fifth discipline, the art and practice",Cyb,20170,1991,False
W2114648917,Critical Heuristics of Social Planning,Cyb,291,1998,False
W582908774,Organizational Systems: Managing Complexit,Cyb,152,2011,False
W2013140629,Cybernetics and management,Cyb,316,1960,False
W1492856410,"Systems Thinking, Systems Practice",Cyb,5938,1981,False
W2026948646,Soft Systems Methodology in Action,Cyb,3404,1991,False
W3124879925,Rodrik · Industrial Policy 21C,PolInd,1527,2004,True
W1520641906,The Tools of government: a guide to the ne,Reg,1845,2002,False
W2072863585,Critical Heuristics of Social Planning: A ,Cyb,597,1996,False
W2325487953,Ashby · Intro to Cybernetics,Cyb,115,1957,True
W2048086870,Beer · Brain of the Firm,Cyb,296,1974,True
W1995875735,A Mathematical Theory of Communication,Cyb,80200,1948,False
W597091629,Principles of systems,Cyb,1359,1968,False
W2083449279,Organizational Learning: A Theory of Actio,Cyb,11131,1997,False
W1527571715,Cybernetics or Control and Communication i,Cyb,5019,2019,False
W67809301,Challenging strategic planning assumptions,Reg,1068,1981,False
W2048894562,On the Economic Theory of Socialism.,PolInd,778,1938,False
W2080554996,Introduction: Understanding Public Policy ,Reg,1382,2007,False
W92085004,Systems Thinking: Creative Holism for Mana,Cyb,825,2003,False
W90769783,Creating the corporate future,Cyb,807,1982,False
W1601944394,The Systems Approach,Cyb,1355,1979,False
W1556995072,A methodology for systems engineering,Cyb,541,1962,False
W1498488428,The social psychology of organizing,,10943,1969,False
W4205188686,"Systems thinking, systems practice",Cyb,3581,1982,False
W2154683088,Beer · Diagnosing the System,Cyb,293,1985,True
W1995156820,"General System Theory: Foundations, Develo",Cyb,2575,1969,False
W1601629960,Hood · Tools of Government,Reg,778,1983,True
W1968459280,Beyond dispute: The invention of team synt,Cyb,217,1995,False
W1970428482,Creative Problem Solving: Total Systems In,Cyb,833,1992,False
W1500608409,"Policy Instruments, Policy Styles, and Pol",Reg,417,1991,False
W2020982650,Managing the “hollow state”: procedural po,Reg,350,2000,False
W1540626093,The Viable System Model: Interpretations a,Cyb,240,1990,False
W1542961362,Policy design for democracy,Reg,1262,1998,False
W595329111,"Carrots, Sticks and Sermons: Policy Instru",Reg,783,2003,False
W2127454860,Reconceptualising the ‘policy mix’ for inn,Reg,1073,2011,False
W2123755784,Brain of the firm,Cyb,1190,1972,False
W1968044930,Systems Methodology for the Management Sci,Cyb,600,1991,False
W2086450534,Towards a System of Systems Methodologies,Cyb,703,1984,False
W142073415,Policy Instruments: Typologies and Theorie,Reg,562,2017,False
W232611682,Smart Regulation: Designing Environmental ,Reg,924,1999,False
