origem,destino,tipo,cocitacoes,forca_associacao
W1492856410,W1495961791,cocita,10,0.0516
W1492856410,W1506732837,cocita,16,0.0596
W1492856410,W1524464890,cocita,9,0.0601
W1492856410,W1527571715,cocita,4,0.028
W1492856410,W1540626093,cocita,11,0.0398
W1492856410,W1556995072,cocita,10,0.0556
W1492856410,W1566478880,cocita,29,0.0694
W1492856410,W1601944394,cocita,17,0.0644
W1492856410,W597091629,cocita,12,0.0532
W1492856410,W92085004,cocita,13,0.0596
W1495961791,W1506732837,cocita,3,0.0231
W1495961791,W1524464890,cocita,5,0.0689
W1495961791,W1540626093,cocita,5,0.0373
W1495961791,W1556995072,cocita,3,0.0344
W1495961791,W1566478880,cocita,8,0.0395
W1495961791,W1601944394,cocita,4,0.0313
W1495961791,W597091629,cocita,6,0.0549
W1495961791,W92085004,cocita,7,0.0662
W1506732837,W1524464890,cocita,4,0.0398
W1506732837,W1527571715,cocita,3,0.0313
W1506732837,W1540626093,cocita,4,0.0216
W1506732837,W1556995072,cocita,9,0.0745
W1506732837,W1566478880,cocita,11,0.0393
W1506732837,W1601944394,cocita,15,0.0848
W1506732837,W597091629,cocita,7,0.0463
W1506732837,W92085004,cocita,6,0.041
W1524464890,W1527571715,cocita,3,0.0561
W1524464890,W1556995072,cocita,5,0.0742
W1524464890,W1566478880,cocita,6,0.0384
W1524464890,W1601944394,cocita,3,0.0304
W1524464890,W597091629,cocita,4,0.0474
W1524464890,W92085004,cocita,5,0.0612
W1527571715,W1540626093,cocita,4,0.0405
W1527571715,W1556995072,cocita,4,0.0622
W1527571715,W1566478880,cocita,5,0.0335
W1527571715,W597091629,cocita,3,0.0373
W1527571715,W92085004,cocita,4,0.0513
W1540626093,W1566478880,cocita,18,0.0624
W1540626093,W1601944394,cocita,3,0.0165
W1540626093,W597091629,cocita,4,0.0257
W1540626093,W92085004,cocita,4,0.0265
W1556995072,W1566478880,cocita,7,0.0372
W1556995072,W1601944394,cocita,8,0.0674
W1556995072,W597091629,cocita,3,0.0296
W1556995072,W92085004,cocita,3,0.0306
W1566478880,W1601944394,cocita,12,0.0436
W1566478880,W597091629,cocita,8,0.034
W1566478880,W92085004,cocita,7,0.0307
W1601944394,W597091629,cocita,7,0.0471
W1601944394,W92085004,cocita,7,0.0486
W597091629,W92085004,cocita,7,0.0569
W1498488428,W2048086870,cocita,4,0.1229
W2025177555,W2048086870,cocita,6,0.0566
W1995875735,W2048086870,cocita,4,0.1295
W1995875735,W2111030512,cocita,7,0.0966
W2013140629,W2111030512,cocita,8,0.0564
W2048086870,W2111030512,cocita,9,0.0723
W2048086870,W4285719527,cocita,5,0.054
W2048086870,W52678905,cocita,4,0.0373
W2025177555,W2111030512,cocita,14,0.0563
W2025177555,W233775549,cocita,12,0.0642
W2025177555,W52678905,cocita,15,0.0699
W2048086870,W233775549,cocita,3,0.0321
W2111030512,W233775549,cocita,9,0.041
W2111030512,W52678905,cocita,21,0.0834
W233775549,W52678905,cocita,8,0.0423
W2048086870,W2123755784,cocita,3,0.0212
W2111030512,W2123755784,cocita,20,0.0602
W1492856410,W1968044930,cocita,10,0.0483
W1492856410,W1970428482,cocita,17,0.0623
W1492856410,W233775549,cocita,12,0.0467
W1492856410,W90769783,cocita,21,0.0675
W1506732837,W1968044930,cocita,5,0.036
W1506732837,W1970428482,cocita,8,0.0437
W1506732837,W233775549,cocita,3,0.0174
W1506732837,W90769783,cocita,13,0.0623
W1524464890,W90769783,cocita,3,0.0258
W1556995072,W90769783,cocita,6,0.0429
W1601944394,W1968044930,cocita,6,0.044
W1601944394,W1970428482,cocita,8,0.0445
W1601944394,W233775549,cocita,5,0.0295
W1601944394,W90769783,cocita,14,0.0682
W1968044930,W1970428482,cocita,8,0.0567
W1968044930,W233775549,cocita,5,0.0376
W1968044930,W90769783,cocita,8,0.0497
W1968044930,W92085004,cocita,5,0.0443
W1970428482,W233775549,cocita,8,0.0457
W1970428482,W90769783,cocita,13,0.0613
W1970428482,W92085004,cocita,5,0.0336
W233775549,W90769783,cocita,7,0.035
W233775549,W92085004,cocita,6,0.0428
W90769783,W92085004,cocita,7,0.0412
W1566478880,W2048086870,cocita,4,0.0263
W1527571715,W2111030512,cocita,7,0.0574
W1995875735,W4285719527,cocita,3,0.0556
W1540626093,W1983425281,cocita,7,0.0517
W1983425281,W2048086870,cocita,4,0.0561
W1492856410,W1498488428,cocita,4,0.0447
W1492856410,W2048086870,cocita,3,0.0206
W1492856410,W2111030512,cocita,16,0.0468
W1492856410,W4285719527,cocita,11,0.0432
W1498488428,W2111030512,cocita,5,0.0654
W2111030512,W4285719527,cocita,13,0.0598
W2111030512,W597091629,cocita,5,0.026
W2111030512,W90769783,cocita,6,0.0226
W4285719527,W90769783,cocita,3,0.0152
W597091629,W90769783,cocita,8,0.0456
W1601944394,W2111030512,cocita,4,0.0177
W1527571715,W1995875735,cocita,4,0.132
W1524464890,W2026948646,cocita,6,0.0563
W1968459280,W2025177555,cocita,3,0.0198
W1968459280,W582908774,cocita,5,0.0392
W1968459280,W67809301,cocita,4,0.031
W2025177555,W2026948646,cocita,8,0.0386
W2025177555,W2072863585,cocita,6,0.0381
W2025177555,W582908774,cocita,13,0.0727
W2025177555,W67809301,cocita,3,0.0166
W2026948646,W2072863585,cocita,9,0.0584
W2026948646,W582908774,cocita,3,0.0171
W2026948646,W67809301,cocita,8,0.0452
W2048086870,W582908774,cocita,4,0.0447
W2072863585,W582908774,cocita,3,0.0226
W2072863585,W67809301,cocita,7,0.0521
W1566478880,W1983425281,cocita,11,0.0538
W1566478880,W2025177555,cocita,20,0.0658
W1566478880,W233775549,cocita,15,0.0559
W1566478880,W582908774,cocita,18,0.0702
W1983425281,W2025177555,cocita,10,0.0701
W1983425281,W233775549,cocita,6,0.0477
W1983425281,W582908774,cocita,9,0.0748
W233775549,W582908774,cocita,5,0.0317
W1492856410,W2123755784,cocita,25,0.0643
W1492856410,W52678905,cocita,9,0.0305
W1498488428,W2123755784,cocita,3,0.0345
W1498488428,W52678905,cocita,4,0.0607
W2123755784,W4285719527,cocita,13,0.0525
W2123755784,W52678905,cocita,18,0.0628
W4285719527,W52678905,cocita,4,0.0213
W1492856410,W2013140629,cocita,5,0.0301
W1492856410,W67809301,cocita,16,0.0645
W1506732837,W2013140629,cocita,3,0.0269
W1506732837,W2123755784,cocita,12,0.046
W1506732837,W67809301,cocita,10,0.0601
W1556995072,W2013140629,cocita,4,0.0535
W1556995072,W2123755784,cocita,5,0.0286
W1556995072,W67809301,cocita,4,0.0358
W1566478880,W2013140629,cocita,8,0.0461
W1566478880,W2123755784,cocita,40,0.0985
W1566478880,W67809301,cocita,11,0.0425
W1566478880,W90769783,cocita,15,0.0462
W1601944394,W2013140629,cocita,3,0.0274
W1601944394,W2123755784,cocita,11,0.0429
W1601944394,W67809301,cocita,12,0.0733
W2013140629,W2123755784,cocita,6,0.0372
W2013140629,W67809301,cocita,3,0.0291
W2013140629,W90769783,cocita,4,0.031
W2123755784,W67809301,cocita,12,0.0497
W2123755784,W90769783,cocita,16,0.0529
W67809301,W90769783,cocita,14,0.0725
W1566478880,W2111030512,cocita,24,0.0673
W1566478880,W52678905,cocita,27,0.0878
W2013140629,W2025177555,cocita,5,0.0413
W2013140629,W52678905,cocita,4,0.0327
W2025177555,W2123755784,cocita,21,0.0742
W1566478880,W1968044930,cocita,7,0.0324
W1566478880,W4205188686,cocita,6,0.0298
W1566478880,W4285719527,cocita,10,0.0376
W1968044930,W4205188686,cocita,4,0.0401
W4205188686,W4285719527,cocita,6,0.0489
W1566478880,W1968459280,cocita,13,0.0599
W1566478880,W2083449279,cocita,7,0.05
W1968459280,W2083449279,cocita,4,0.0574
W1492856410,W1968459280,cocita,5,0.0241
W1492856410,W2086450534,cocita,10,0.0477
W1492856410,W2101157755,cocita,5,0.0271
W1492856410,W2114648917,cocita,9,0.0433
W1492856410,W4205188686,cocita,12,0.0622
W1495961791,W1968459280,cocita,4,0.0397
W1495961791,W1970428482,cocita,3,0.0227
W1495961791,W2086450534,cocita,5,0.0492
W1495961791,W2101157755,cocita,5,0.0559
W1495961791,W2114648917,cocita,4,0.0397
