membros,eixos,integracao_kf,integracao_z,escore_latente,similaridade_semantica,na_faixa,quadrante,agenda,confianca_modal
W1566478880|W3170187706|W4244612406,Cyb|Reg,39.5187,2.236,0.0581,0.3467,1,costura_ouro,1,obra
W2123755784|W3170187706|W4244612406,Cyb|Reg,39.5158,2.235,0.0349,0.2713,0,agenda_pesquisa,0,obra
W2111030512|W3170187706|W4244612406,Cyb|Reg,39.5155,2.235,0.0672,0.2285,0,agenda_pesquisa,0,obra
W3170187706|W4244612406|W52678905,Cyb|Reg,39.5072,2.235,0.0879,0.4041,0,agenda_pesquisa,0,obra
W2025177555|W3170187706|W4244612406,Cyb|Reg,39.5015,2.234,0.0491,0.308,1,costura_ouro,1,obra
W1601629960|W2102461236|W2126563689,Cyb|Reg,39.427,2.146,0.0879,0.3164,1,costura_ouro,1,obra
W1520641906|W1601629960|W2102461236,Cyb|Reg,39.4038,2.253,0.0827,0.3435,1,costura_ouro,1,obra
W1601629960|W2037927976|W2102461236,Cyb|Reg,19.7209,2.285,0.0336,0.3152,1,costura_ouro,1,obra
W1575626990|W2120106358|W3124879925,PolInd|Reg,16.4047,0.365,0.0594,0.3024,1,costura_ouro,1,obra
W1575626990|W2012275303|W3124879925,PolInd|Reg,16.3938,0.364,0.0336,0.4083,0,agenda_pesquisa,0,obra
W1970915980|W2007180942|W3130930004,PolInd|Reg,15.2583,0.275,0.0413,0.2757,0,agenda_pesquisa,0,obra
W2007180942|W3130930004|W4242178059,PolInd|Reg,15.2583,0.275,0.0413,0.2305,0,agenda_pesquisa,0,obra
W1970915980|W2048894562|W3130930004,PolInd|Reg,15.247,0.274,0.1473,0.5801,0,agenda_pesquisa,0,obra
W2048894562|W3130930004|W4242178059,PolInd|Reg,15.247,0.274,0.1473,0.4931,0,agenda_pesquisa,0,obra
W1577156806|W2007180942|W3130930004,PolInd|Reg,8.5459,-0.25,0.0401,0.2696,0,agenda_pesquisa,0,obra
W1577156806|W2048894562|W3130930004,PolInd|Reg,8.5418,-0.251,0.146,0.5425,0,agenda_pesquisa,0,obra
W1595964953|W1601629960|W2126563689,Cyb|Reg,6.585,-0.402,0.0115,0.4473,0,agenda_pesquisa,0,obra
W1520641906|W1595964953|W1601629960,Cyb|Reg,6.5781,-0.351,0.0115,0.4506,0,agenda_pesquisa,0,obra
