membros,x_latente,y_integracao_kf,semantico,na_faixa,quadrante
W1601629960|W2102461236|W4285719527,0.0678,40.8222,0.2681,1,costura_ouro
W1566478880|W3170187706|W4244612406,0.0517,40.7972,0.3467,0,ruido_quimera
W2111030512|W3170187706|W4244612406,0.0598,40.7941,0.2285,1,costura_ouro
W3170187706|W4244612406|W52678905,0.0782,40.7856,0.4041,0,ruido_quimera
W1601629960|W2102461236|W2126563689,0.0782,40.7247,0.3164,1,costura_ouro
W1601629960|W2102461236|W4206762723,0.0678,40.7233,0.2681,1,costura_ouro
W1520641906|W1601629960|W2102461236,0.0736,40.699,0.3435,0,ruido_quimera
W1575626990|W3124879925|W4285719527,0.054,16.9795,0.3239,0,ruido_quimera
W1575626990|W2120106358|W3124879925,0.0529,16.9489,0.3024,1,costura_ouro
W1970915980|W4206762723|W4285719527,0.0483,10.9605,0.0,0,ruido_quimera
W1601629960|W1970915980|W4285719527,0.0678,10.9604,0.2748,1,costura_ouro
W1601629960|W4242178059|W4285719527,0.0678,10.9604,0.2943,1,costura_ouro
W1970915980|W2126563689|W4285719527,0.0506,10.9601,0.0652,0,ruido_quimera
W2126563689|W4242178059|W4285719527,0.0506,10.9601,0.2094,0,ruido_quimera
W1566478880|W1970915980|W4285719527,0.077,10.9542,0.3567,0,ruido_quimera
W1566478880|W4242178059|W4285719527,0.077,10.9542,0.187,0,ruido_quimera
W1492856410|W1970915980|W4285719527,0.0517,10.954,0.1134,0,ruido_quimera
W1492856410|W4242178059|W4285719527,0.0517,10.954,0.0985,0,ruido_quimera
W1970915980|W2111030512|W4285719527,0.0575,10.9535,0.1223,0,ruido_quimera
W1970915980|W2123755784|W4285719527,0.0575,10.9535,0.1276,0,ruido_quimera
W2111030512|W4242178059|W4285719527,0.0575,10.9535,0.0768,0,ruido_quimera
W2123755784|W4242178059|W4285719527,0.0575,10.9535,0.0696,0,ruido_quimera
W1970915980|W2154683088|W4285719527,0.054,10.9522,0.3389,0,ruido_quimera
W2154683088|W4242178059|W4285719527,0.054,10.9522,0.2048,0,ruido_quimera
W1970915980|W2048086870|W4285719527,0.054,10.9503,0.3117,1,costura_ouro
W2048086870|W4242178059|W4285719527,0.054,10.9503,0.1219,0,ruido_quimera
W3124879925|W4242178059|W4285719527,0.054,10.9467,0.2852,1,costura_ouro
