obra_a,eixo_a,obra_b,eixo_b,frente,cosseno,centralidade
W617038684,PolInd,W1855283887,Cyb,Cyb × PolInd,0.641,0.0549
W1491554624,PolInd,W2127454860,Reg,PolInd × Reg,0.628,0.1209
W2114648917,Cyb,W2010793828,Reg,Cyb × Reg,0.6256,0.2692
W2007180942,PolInd,W1495419098,Cyb,Cyb × PolInd,0.5868,0.2253
W2007180942,PolInd,W1500910854,Cyb,Cyb × PolInd,0.5859,0.1923
W1585382938,PolInd,W3123282572,Reg,PolInd × Reg,0.579,0.0934
W1999997471,PolInd,W2142257426,Reg,PolInd × Reg,0.577,0.1374
W617038684,PolInd,W67809301,Reg,PolInd × Reg,0.5744,0.1813
W1576605329,PolInd,W2142257426,Reg,PolInd × Reg,0.5669,0.0879
W3121147769,PolInd,W1566344170,Reg,PolInd × Reg,0.5627,0.2253
W4244612406,Cyb,W1566344170,Reg,Cyb × Reg,0.5597,0.2253
W2059789395,PolInd,W597091629,Cyb,Cyb × PolInd,0.5542,0.0824
W2102469678,PolInd,W2752617332,Reg,PolInd × Reg,0.5531,0.1538
W2140256961,Cyb,W2028436159,Reg,Cyb × Reg,0.5497,0.0604
W617038684,PolInd,W1504129344,Reg,PolInd × Reg,0.5485,0.044
W2179492332,Cyb,W1566344170,Reg,Cyb × Reg,0.5477,0.1209
W1585382938,PolInd,W1511343964,Cyb,Cyb × PolInd,0.5459,0.0165
W1566172004,Reg,W90769783,Cyb,Cyb × Reg,0.5443,0.2198
W2085563972,Reg,W617038684,PolInd,PolInd × Reg,0.5432,0.022
W1993023795,Cyb,W617038684,PolInd,Cyb × PolInd,0.5409,0.033
W2114648917,Cyb,W2312418354,Reg,Cyb × Reg,0.5383,0.3132
W1965278510,Reg,W2004899202,Cyb,Cyb × Reg,0.5365,0.0934
W1491554624,PolInd,W1992324015,Cyb,Cyb × PolInd,0.5354,0.0604
W1979968159,PolInd,W67809301,Reg,PolInd × Reg,0.5341,0.2198
W4244612406,Cyb,W2039191423,PolInd,Cyb × PolInd,0.5338,0.1758
W2118243939,PolInd,W2127454860,Reg,PolInd × Reg,0.5319,0.1319
W2120106358,PolInd,W2312418354,Reg,PolInd × Reg,0.529,0.3242
W1585382938,PolInd,W4244612406,Cyb,Cyb × PolInd,0.5272,0.1538
W1517602275,Reg,W1895366050,PolInd,PolInd × Reg,0.5269,0.0495
W582908774,Cyb,W1585382938,PolInd,Cyb × PolInd,0.5259,0.0659
W2060827592,PolInd,W1495419098,Cyb,Cyb × PolInd,0.518,0.1484
W90769783,Cyb,W2312418354,Reg,Cyb × Reg,0.5156,0.3901
W1511343964,Cyb,W1965278510,Reg,Cyb × Reg,0.5155,0.0714
W2970049487,Cyb,W2010793828,Reg,Cyb × Reg,0.5152,0.2637
W582908774,Cyb,W2099670044,PolInd,Cyb × PolInd,0.5147,0.0824
W1585382938,PolInd,W2164284962,Cyb,Cyb × PolInd,0.5126,0.0879
W1553746973,PolInd,W2142257426,Reg,PolInd × Reg,0.5125,0.4725
W2083449279,Cyb,W2028436159,Reg,Cyb × Reg,0.5118,0.1044
