key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,doi,keywords,notes
R001,How rediscovering nodality can improve democratic governance in a digital world,Helen Margetts and Peter John,,,,,,2024,,https://openalex.org/W4386803846,"Abstract In Hood's (1983) classic “NATO” scheme, nodality—centrality and visibility in information networks—is one of the four tools of government. Despite its potential as a resource to effect policy change, contemporary scholars have largely neglected this unique policy tool. However, the growing prominence of digital platforms in public life prompts a rediscovery of this concept. The decisive shift is the parallel growth of citizen nodality, which can increase societal capacity and enhance government nodality, partly by allowing citizens to challenge government nodality. Moreover, citizen nodality and government nodality can interact to promote more democratic government. With the aim of rediscovering and updating nodality, this article defines the concept, reviews how the modern digital landscape has transformed the practice of nodality, and proposes a conceptual and methodological toolkit. The goal is to understand how nodality may be more effectively used by policy‐makers while at the same time fostering democratic governance.",10.1111/padm.12960,eixo: Instrumentos de governo; papel: obra-semente,Síntese cienciométrica IPEA · fonte: núcleo global · eixos: Instrumentos de governo · papel: obra-semente
R002,Políticas industriales para revertir la desindustrialización prematura de la economía brasileña: una agenda para la discusión de políticas,Lívia Sousa and José Luís Oreiro,International review of economic policy =,,,,,2024,,https://openalex.org/W4400658330,"Este artículo explora la trayectoria del sector manufacturero brasileño, centrándose en el proceso de desindustrialización, y profundizando en la evolución histórica de las políticas industriales, especialmente las iniciativas más recientes, que se remontan al primer gobierno de Lula a principios del siglo XXI, y sus resultados. El documento aboga por una agenda estratégica de política industrial diseñada para llevar a Brasil hacia la reindustrialización, fomentando así un crecimiento económico sostenido y de largo plazo. Al analizar el historial histórico del sector manufacturero y examinar la agenda de política industrial predominante en Brasil, junto con las ideas de algunas naciones desarrolladas que buscan activamente la reindustrialización, este estudio propone un plan de política industrial con visión de futuro. Diseñado para abordar los desafíos y oportunidades únicos de Brasil, el documento sirve como una hoja de ruta para los formuladores de políticas y ofrece recomendaciones prácticas para revitalizar el panorama industrial. En resumen, el artículo desentraña las complejidades del sector manufacturero, ofreciendo una mejor comprensión de la desindustrialización, las agendas de política industrial y sus tendencias, tanto para Brasil como a nivel mundial, proporcionando un plan de política industrial proactivo para el país. Este examen multifacético proporciona información valiosa para los formuladores de políticas y las partes interesadas, facilitando una toma de decisiones bien informada para que el país recupere un crecimiento económico sostenible.",10.7203/irep.6.1.29171,eixo: Política industrial; papel: corpus Brasil (Faganello),Síntese cienciométrica IPEA · fonte: Brasil · eixos: Política industrial · papel: corpus Brasil (Faganello)
R003,A Nova política industrial brasileira e seu alinhamento às tendências globais,Caroline Giusti de Araújo and Vinícius Luís de Souza Nonato and Rafael Grilli Felizardo,,,,,,2024,,https://scispace.com/papers/a-nova-politica-industrial-brasileira-e-seu-alinhamento-as-1mpri6wiqb5c,"Este artigo analisa o ressurgimento do debate em torno da política industrial em âmbito global e sua influência na decisão do Brasil de retomar o planejamento econômico de longo prazo. As mudanças no contexto político com a crise sanitária e climática e o acirramento das tensões geopolíticas estimularam as principais economias mundiais – como Estados Unidos, Alemanha e China – a fortalecer estratégias industriais para impulsionar a inovação, a produtividade, o crescimento e a transição ecológica. Essa tendência internacional levou o Brasil a reconsiderar sua agenda de desenvolvimento, especialmente diante dos desafios impostos pela desindustrialização, que atrasou o país no catching up. Nesse cenário foi lançada a Nova Indústria Brasil (NIB), que está apoiando e direcionando os investimentos privados para a neoindustrialização, mas que ainda enfrenta desafios relacionados à governança e ao Custo Brasil.",10.38116/rtm36art3,eixo: Política industrial; papel: corpus Brasil (Faganello),Síntese cienciométrica IPEA · fonte: Brasil · eixos: Política industrial · papel: corpus Brasil (Faganello)
R004,Europe first? The rise of EU industrial policy promoting and protecting the single market,Donato Di Carlo and Luuk Schmitz,,,,,,2023,,https://openalex.org/W4368376507,"Within Europe’s regulatory state, industrial policy has largely remained within national governments’ remit. Yet, a plethora of new supra- and cross-national industrial policy initiatives have recently emerged whereby the Commission proactively engages in pan-European activities to foster innovation and economic development. This article brings the ‘Developmental Network States’ (DNS) literature into dialogue with EU integration scholarship to explain both the timing of EU industrial policy’s rise since the mid-2010s and the variation in forms of EU integration of different industrial policy functions. Our analysis suggests that the Commission increasingly operates four major developmental functions akin to DNSs and aimed at promoting and protecting the single market. Neofunctionalist theories of EU integration explain these momentous shifts. The timing behind the rise of EU industrial policy is best explained as an interplay of functional, cultivated, and political spillovers, driven especially by the Franco-German realignment on pro-EU industrial policy positions since 2016. Variation in the governance forms of integrated EU industrial policy functions is instead explained in terms of the degree of pre-existing integration of extant policies, the low vs high politics nature of the policy domain and the types of externalities attached to the specific policy area.",10.1080/13501763.2023.2202684,eixo: Instrumentos de governo; eixo: Política industrial; papel: obra-ponte,"Síntese cienciométrica IPEA · fonte: núcleo global · eixos: Instrumentos de governo, Política industrial · papel: obra-ponte"
R005,"Governing the net-zero transition: Strategy, policy, and politics",James Meadowcroft and Daniel Rosenbloom,,,,,,2023,,https://openalex.org/W4388622472,"This paper applies insights from the literature on transitions in major consumption-production systems to clarify the nature of the challenge of moving to a net-zero greenhouse gas (GHG) emission society. It highlights critical features of transitions including their multiactor/multicausal logic, phased development, and distributive impacts. Because current systems are so dependent on fossil energy resources, and on GHG-emitting industrial processes and agricultural practices, multiple transitions across a range of distinct consumption-production systems will be required for net zero. The transformation of each system faces different barriers and enabling conditions and is influenced by varied nonclimate-related disruptions. Important policy implications follow, including the need to focus on sector and regional transitions, link climate policy to other societal goals, and adopt policy mixes appropriate to the transition phase. The article discusses recent policy and politics-related findings from the transitions literatures including those dealing with policy mixes, transition intermediaries, and green industrial policy.",10.1073/pnas.2207727120,eixo: Instrumentos de governo; eixo: Política industrial; papel: obra-ponte,"Síntese cienciométrica IPEA · fonte: núcleo global · eixos: Instrumentos de governo, Política industrial · papel: obra-ponte"
R006,Política industrial: bases teórico-analíticas em perspectiva,Ana Claudia de Queiroz Lira and Vladyr Yuri Soares de Lima Cavalcanti and Maria de Lourdes Barreto Gomes,Recima21,,,,,2023,,https://openalex.org/W4323038246,"A indústria, no momento histórico atual, é considerada um dos vetores de impulsionamento de forças que moldam o desenvolvimento econômico, entre essas: o investimento estrangeiro direto, o comércio de bens e serviços e os fluxos de tecnologia. Essas forças estão impulsionando nações e empresas no sentido de sua internacionalização, globalização e adoção de modelos radicalmente distintos de gerência e produção. Assim, as políticas industriais contemporâneas devem focar em novas tecnologias de produção, desenvolvimento de produtos e modelo de negócios, além da diversificação da economia para setores e atividades com maior valor agregado, conteúdo tecnológico e produtividade. Neste contexto, este trabalho tem como objetivo compreender política industrial dentro de uma perspectiva conceitual, histórica e aplicada considerando, principalmente, o que dizem entidades nacionais dedicadas a produzir e difundir informações sobre política industrial no Brasil, entre essas: Instituto de Estudos para o Desenvolvimento Industrial - IEDI, e Confederação Nacional da Indústria – CNI, que consideram que a estratégia de desenvolvimento sustentado do país deverá passar inevitavelmente pela dinamização do parque produtivo nacional e pela concepção atual da política industrial indissociável da concorrência, da atualização tecnológica e do aumento da produtividade, deve ser continuamente renovada e deve estar alinhada às políticas macroeconômicas (e mesmo às microeconômicas) tendo como objetivo o crescimento e o desenvolvimento do País.",10.47820/recima21.v4i3.2833,eixo: Política industrial; papel: corpus Brasil (Faganello),Síntese cienciométrica IPEA · fonte: Brasil · eixos: Política industrial · papel: corpus Brasil (Faganello)
R007,"Industrial policy matters: the co-evolution of economic structure, trade, and FDI in Brazil and Mexico, 2000–2015",André Pineli and Rajneesh Narula,,,,,,2023,,https://openalex.org/W4327732822,"Abstract The early work by Kuznets and Chenery originally developed the theme that economic development was not simply a synonym for aggregate GDP growth, but entailed qualitative changes in the structures of production, employment, and consumption. Later work in international business and economics explored the co-evolution between FDI and economic structure. We investigate the co-evolution between FDI, economic structure and export structures in the two largest Latin American economies, Brazil and Mexico, over the period 2000–2015. Both initially followed similar development strategies during the import-substitution era. During the liberalization era they followed somewhat different strategies towards maintaining the competitiveness of domestic actors. In addition to the analysis of key indicators, we discuss the role played by industrial policies—or their absence—within Brazil’s and Mexico’s development strategies. Industrial policy instruments, such as infant industry protection, subsidies, tax and financial incentives, as well as performance requirements may be crucial to shift the economic structure in the direction of the desired industries. Tracing the co-evolution between FDI and economic structures, even in the absence of statistical rigour to support causal claims, provides interesting insights for industrial policy in the twenty-first century.",10.1007/s40812-023-00262-4,eixo: Política industrial; papel: corpus Brasil (Faganello),Síntese cienciométrica IPEA · fonte: Brasil · eixos: Política industrial · papel: corpus Brasil (Faganello)
R008,"Data science, artificial intelligence and the third wave of digital era governance",Patrick Dunleavy and Helen Margetts,,,,,,2023,,https://openalex.org/W4387025480,"This article examines the model of digital era governance (DEG) in the light of the latest-wave of data-driven technologies, such as data science methodologies and artificial intelligence (labelled here DSAI). It identifies four key top-level macro-themes through which digital changes in response to these developments may be investigated. First, the capability to store and analyse large quantities of digital data obviates the need for data ‘compression’ that characterises Weberian-model bureaucracies, and facilitates data de-compression in data-intensive information regimes, where the capabilities of public agencies and civil society are both enhanced. Second, the increasing capability of robotic devices have expanded the range of tasks that machines extending or substituting workers’ capabilities can perform, with implications for a reshaping of state organisation. Third, DSAI technologies allow new options for partitioning state functions in ways that can maximise organisational productivity, in an ‘intelligent centre, devolved delivery’ model within vertical policy sectors. Fourth, within each tier of government, DSAI technologies offer new possibilities for ‘administrative holism’ - the horizontal allocation of power and functions between organisations, through state integration, common capacity and needs-based joining-up of services. Together, these four themes comprise a third wave of DEG changes, suggesting important administrative choices to be made regarding information regimes, state organisation, functional allocation and outsourcing arrangements, as well as a long-term research agenda for public administration, requiring extensive and detailed analysis.",10.1177/09520767231198737,eixo: Instrumentos de governo; papel: obra de autor-semente,Síntese cienciométrica IPEA · fonte: núcleo global · eixos: Instrumentos de governo · papel: obra de autor-semente
R009,Feasible Financial Innovation Under Market Socialism,Domenico Mario Nuti,,,,,,2023,,https://openalex.org/W4379525313,,10.1007/978-3-031-12334-4_9,eixo: Política industrial; papel: obra de autor-semente,Síntese cienciométrica IPEA · fonte: núcleo global · eixos: Política industrial · papel: obra de autor-semente
R010,Government political-relational capacities and industrial policy profile: Brazil’s experience at the beginning of the 21st Century,G. Queiroz-Stein and Alfredo Alejandro Gugliano,Gyeongje wa sahoe,,,,,2022,,https://openalex.org/W4312049928,"Abstract Formulating industrial policies is a complex process marked by advances and setbacks, reflecting the political and institutional aspects. In the present article, we aim to better understand the role of government relational capacities in delineating the industrial policy profile. Based on a qualitative research on Brazilian industrial policies between 2003 and 2014, this study highlights how the interlocution and coordination between public and private actors are crucial in shaping the industrial policy profile. Our analysis shows that between 2003 and 2007, relational capacities were built, reflected in a focused industrial policy, predominantly applying regulatory instruments oriented to promote innovation. From 2007 to 2014, there was a progressive loss in relational capacities, the industrial policy lost strategic focus, and increased the use of tax relief instruments in its management.",10.1590/1982-3533.2022v31n3art02,eixo: Política industrial; papel: corpus Brasil (Faganello),Síntese cienciométrica IPEA · fonte: Brasil · eixos: Política industrial · papel: corpus Brasil (Faganello)
