"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract"
"Política industrial e empresas estatais no Brasil: BNDES e Petrobras","https://scispace.com/papers/politica-industrial-e-empresas-estatais-no-brasil-bndes-e-2p478ejjxx","2014","Posted Content","Research Papers in Economics","Mansueto Almeida
Renato Lima-de-Oliveira
Ben Ross Schneider","","https://www.econstor.eu/bitstream/10419/121585/1/814789773.pdf","Yes","15","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's BNDES and Petrobras to illustrate contemporary industrial policy design, implementation, and evaluation; links regulation to policy in a democratic context; provides historical contrast with 20th‑century state‑led development; briefly references East Asian cases for comparison.","The return of the developmental State in Brazil raises revealing historical and comparative contrasts. The main contemporary difference is that developmentalism and industrial policy are being defined and pursued in far more open and participatory political contexts than was previously the case in either Brazil or East Asian cases and more open borders in terms of economic flows of trade, finance, and direct investment. In the 20th century, governments could more easily focus on designing and implementing industrial policy. Democratic governments in the 21st century, in contrast, manage a host of other, especially social, policies. These policies of course compete with industrial policy for both resources and top level political support. This paper investigates how industrial policies are designed, implemented and evaluated today in Brazil, focusing on two Brazilian State companies, BNDES and Petrobras, the two largest and most active agents of industrial policy in Brazil."
"The Political Economy of Brazilian Industrial Policy (2003 - 2014): Main Vectors, Shortcomings and Directions to Improve Effectiveness*","https://scispace.com/papers/the-political-economy-of-brazilian-industrial-policy-2003-1vs0nkqjru","2021","Journal Article","Dados-revista De Ciencias Sociais","Alexandre Queiroz Guimarães","10.1590/DADOS.2021.64.2.235","https://scispace.com/pdf/the-political-economy-of-brazilian-industrial-policy-2003-1vs0nkqjru.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's 2003‑2014 industrial policy case to examine state‑driven regulation and policy design, linking all three elements; offers limited historical depth and minimal cross‑country comparison.","This paper is a study about industrial policy and its role in development, investigating how it was recently adopted in Brazil. After a decade of neoliberalism, industrial policy returned to the agenda, increasing the interest in its evaluation. Initially, the article explores general matters related to the needs for industrial policy and to the required factors and procedures that contribute to successful implementation. A benchmark is created to interpret the Brazilian experience. Despite its prioritization and the achievement of specific advances, industrial policy in Brazil failed to produce more consistent results. The main reasons include the lack of an appropriate coordination structure, the incapacity to focus on clear productivity and competitiveness targets, the excessive number of sectors contemplated, the lack of any consistent evaluation and the inability to achieve an encompassing negotiation with business representatives. These deficiencies weakened the possibility of addressing the serious shortcomings inherent to Brazilian industry."
"Innovation policy in Brazil since 2003 : Advances, incoherencies, and discontinuities","https://scispace.com/papers/innovation-policy-in-brazil-since-2003-advances-2re14mv2c2","2019","Book Chapter","","Glauco Arbix","10.4324/9780429053092-4","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil‑specific innovation policies (PITCE, PDP, PBM, Inova Empresa) to illustrate industrial regulation design and implementation; provides a 13‑year historical overview but lacks cross‑country comparison.","This chapter analyzes the latest industrial policy cycle in Brazil, which began in 2003 under President Lula (Workers’ Party or PT) and lasted until the impeachment of his successor, President Dilma Rousseff (also from PT) in 2016. This 13-year period was marked by improvements to regulatory frameworks, the introduction of sophisticated public funding mechanisms for business R&D, and unprecedented growth in government stimulus for science and technology. Yet the implementation of various innovation policies launched during this period – such as the Industrial, Technological, and Foreign Trade Policy (Politica Industrial, Tecnologica e de Comercio Exterior or PITCE) in 2004, the Productive Development Policy (Politica de Desenvolvimento Produtivo or PDP) in 2008, the Greater Brazil Plan (Plano Brasil Maior or PBM) in 2011, and the Business Innovation Plan (Plano Inova Empresa) in 2013 – has been unsteady, and advances have been regularly undermined by doubts, mistakes, and a loss of focus on technological innovation. These mixed outcomes highlight the need for renewed thinking about strategies for overcoming the low productivity of the Brazilian economy."
"Indústria Farmacêutica no Brasil: Evolução Histórica, Capacitação Competitiva e Políticas Industriais","https://scispace.com/papers/industria-farmaceutica-no-brasil-evolucao-historica-2ov4n12xjw","2016","Journal Article","","Rafaela Silva
Thiago Caliari","10.14393/REE-V31N1A2016-3","https://scispace.com/pdf/industria-farmaceutica-no-brasil-evolucao-historica-2ov4n12xjw.pdf","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's pharma sector evolution to illustrate industrial policy and regulation, detailing policy design and implementation; offers historical overview but no cross‑country comparison.","The goal of this study is to investigate the process of the Brazilian pharmaceutical industry’s development and the implications of the public politics, particularly the industrial policy towards resignation in this sector in Brazil. The results point that in the last years can be verified a new conformation of the national industrial structure with increasing relevance of domestic enterprises and new possibilities for these guided companies of developing biotechnological products. Moreover, there seems to be a connection between a bigger industry with other important agents for the development and the policy implemented by the federal government."
"Desafios da real política industrial brasileira do século XXI","https://scispace.com/papers/desafios-da-real-politica-industrial-brasileira-do-seculo-8q6lbglzu8","2009","Posted Content","Research Papers in Economics","Mansueto Almeida","","https://www.econstor.eu/bitstream/10419/90932/1/617040826.pdf","Yes","30","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Analyzes Brazil’s current industrial policy, its regulatory choices, historical import‑substitution legacy, and sector‑specific discrimination, but lacks cross‑country comparison.","This paper debates some dilemmas involved in today`s Brazilian industrial policy. First, I will explain the current industrial policy debate in Brazil, stressing the dilemmas involved in supporting the development of technology-intensive sectors in a highly diversified economy led by low and medium-low technology intensive sectors. Second, despite the current discourse to foster innovation across the sectors, Brazilian government continues to promote specific sectors and firms as it did back in the import substitution period. In spite of that, seldom does the government recognize this real industrial policy, in which the official discourse pro innovation goes hand in hand with traditional industrial policies of picking up the winners. Third, I show that the real industrial policy in Brazil, when necessary, tends to discriminate against foreign-owned firms in some sectors to build national large firms. And last, I argue that today`s industrial policy in Brazil still occurs in an environment in which capitalists prefer to invest in their private access to state actors instead of investing in collective action through business associations."
"El desafío competitivo para la industria brasileña","https://scispace.com/papers/el-desafio-competitivo-para-la-industria-brasilena-4md766cqeu","1996","Journal Article","","João Carlos Ferraz
David Kupfer
Lia Haguenauer","10.18356/E351DB4D-ES","https://scispace.com/pdf/el-desafio-competitivo-para-la-industria-brasilena-4md766cqeu.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil‑specific industry case studies and competition‑driven policy analysis; details regulatory incentives and sectoral instruments; links regulation to macro‑policy goals; outlines evolution of industrial groups; mentions OECD context but lacks systematic cross‑country comparison.","El articulo establece las etapas de evolucion en que se encuentran los sectores industriales que generan la mitad de la produccion brasilena e identifica sus desafios competitivos, incluso los asociados a la politica industrial. Entre 1980 y 1994 la industria enfrento una persistente inestabilidad macro-economica y una creciente liberalizacion comercial. Pero con ajustes sucesivos, se adapto al ambiente hostil, y no solo sobrevivio sino que mantuvo la capacidad de reducir el desequilibrio existente, atender la demanda interna y propiciar una insercion externa equilibrada del pais. Las empresas brasilenas buscan renovar su capacidad de competir, profundizando ciertas caracteristicas de su “codigo genetico”: atencion del mercado interno, fortalecimiento de la capacitacion productiva e intemacionalizacion comercial y patrimonial. El nuevo ambiente competitivo demanda una politica industrial orientada a incentivar la eficiencia y a regular las practicas desleales de competencia. Esto exige un Estado activo, dotado de recursos humanos calificados e instrumentos adecuados, lo que facilitaria las negociaciones para la definicion de prioridades y la aplicacion de medidas que propicien el desarrollo competitivo del pais."
"Experiência histórica de política industrial no Brasil","https://www.scielo.br/j/rep/a/Qv7TwJYbW48LzKZPWffW86D/?lang=pt","1995","","","Wilson Suzigan","","https://www.scielo.br/j/rep/a/Qv7TwJYbW48LzKZPWffW86D/?format=pdf&lang=pt","Yes","128","KNlEKRG-EZ0J","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's 1930‑70s industrial policy history to show institutional lock‑in, linking regulation and policy design; no cross‑country comparison.","This paper studies the practice of industrial policy and the corresponding effort of institution building in Brazil from the 1930s to the 1970s. The argument is that, although that practice and the respective institutional organization succeeded in the structuring of Brazilian industry into a process of convergence towards the international industrial structure and technological development patterns up to the 1970s, they showed themselves not functional in catching up with the structural changes and thc new technologies of the 1 980s. The paper concludes by pointing that both the established practice of industrial policy and the related institutional organization led to a normative and institutional lock in which, together with the political inertia, hindered the necessary changes at the beginning of the 1980s."
"Health policy as industrial policy: Brazil in comparative perspective","https://journals.sagepub.com/doi/abs/10.1177/0032329213507552","2013","Journal Article","Politics & Society","Kenneth C. Shadlen
Elize Massard da Fonseca","10.1177/0032329213507552","https://www.researchgate.net/profile/Ken-Shadlen/publication/291533650_Healthpolicy_as_industrial_policy_Brazil_in_comparative_perspective/links/5f9874f7a6fdccfd7b84a7f5/Healthpolicy-as-industrial-policy-Brazil-in-comparative-perspective.pdf","No","79","Fc7ribptzr8J","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's health‑pharma policy to show how demand‑driven and regulation‑induced pathways link health policy with industrial development, detailing regulatory mechanisms and policy design. Provides limited historical context; no cross‑country comparison.","In contrast to analyses that regard health policy and industrial policy as anathema to each other, either because an emphasis on health implies neglect of industry or because gains in industrialization come at the expense of health, we show positive synergies between the two realms. Government intervention into the health sector can catalyze interventions to promote industrial development in the pharmaceutical sector, which in turn can make health policies more effective. We focus on two pathways by which health policies can trigger industrial policies. A demand-driven pathway entails government commitments in health revealing weaknesses and deficiencies in pharmaceutical production, and thus inspiring efforts to build capabilities to stabilize the flow of drugs to the public sector. A regulation-induced pathway consists of sanitary policies revealing mismatches between what is required for firms to continue to participate in the market and pharmaceutical producers’ prevailing levels of capabilities, and ..."
"Política industrial e tecnológica no Brasil: uma investigação dos determinantes das escolhas políticas.","https://scispace.com/papers/politica-industrial-e-tecnologica-no-brasil-uma-investigacao-2phi0mm654","2011","","","Fabiana Ieis
C. L. da Silva
N. S. S. Bassi","","https://scispace.com/pdf/politica-industrial-e-tecnologica-no-brasil-uma-investigacao-2phi0mm654.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil's 1980‑2000 industrial policy evolution to analyse state‑driven regulation, design, and implementation; offers strong historical insight but no cross‑country comparison.","This study is, in general terms, the analysis of industrial policy from the 2000s in Brazil. It is considered that the industrial and technological policy must take into account the technological infrastructure, funding mechanisms, the knowledge base and the existent social acceptance level for defining their guide lines. Thus, this study seeks to answer whether the prioritizations of Industrial and Technology Policy (PI), in Brazil, are carried out cooperatively between the industry and political actors, or rigidly following punctual political interests. This research carried out by qualitative study, literature and documentary review. It is the policy is formulated and accompanied by a handful of institutions. It is understood the definition of an integrated management system among several ministries in formulating and implementing of action agenda, the priority sectors, in general, are repeated from the preparation of PITCE in 2003, until the recent policy review launched in 2011, and that does not exist, or at least is not mentioned in official documents, the definition of the selection system of the prioritized productive sectors. Moreover, despite the involvement of various Ministries and Industry Associations do not realize the involvement of universities and research and innovation centers in the process of dialogue with the policy. Keys Words: Industrial Policy. PITCE. Industrial Sectors. Polítical Actors."
"A experiência recente da política industrial no Brasil: uma avaliação","https://repositorio.ipea.gov.br/bitstream/11058/2047/1/TD%20409.pdf","1996","","","Eduardo Augusto de Almeida Guimarães","","https://repositorio.ipea.gov.br/bitstream/11058/2047/1/TD%20409.pdf","Yes","112","Q00yGleKmXEJ","","","","","","","","","Google Scholar","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Brazil‑focused industrial policy evaluation to discuss sector‑specific regulation, design and implementation, linking all three elements; includes some historical context but no cross‑country comparison.",""
